t,V,SDUpper
0,0.00000,14.724
30,65.28497,80.982
39,158.54922,179.141
48,264.24870,287.117
55,425.90674,449.080
57,310.88083,338.650
59,307.77202,375.460
61,379.27461,449.080
63,537.82383,628.221
